"WYKAZ ULIC UKŁADU UZUPEŁNIAJĄCEGO",,,,,,
"Lp.","Ulica","dzielnica","kategoria","Długość [m]","Przebieg od","Przebieg do"
"261","Czekalskie","Nowe Miasto","powiatowa","773",,
"262","Czekanowskiego Jana","Nowe Miasto","gminna","499",,
"263","Czeladzka","Wilda","gminna","393",,
"264","Czempińska","Grunwald","gminna","85",,
"265","Czeremchowa","Wilda","gminna","365",,
"266","Czereśniowa","Wilda","gminna","219",,
"267","Czerniejewska","Nowe Miasto","gminna","246",,
"268","Czernika Stanisława","Grunwald","gminna","42",,
"269","Czerska","Jeżyce","gminna","144",,
"270","Czerwińskiego Bolesława","Wilda","gminna","74",,
"271","Cześnikowska","Grunwald","gminna","691",,
"272","Częstochowska","Grunwald","gminna","238",,
"273","Człopska","Jeżyce","gminna","268",,
"274","Człuchowska","Jeżyce","gminna","659",,
"275","Czorsztyńska","Jeżyce","gminna","561",,
"276","Czwartaków","Wilda","gminna","236",,
"277","Czysta","Nowe Miasto","gminna","161",,
"278","Ćmielowska","Nowe Miasto","gminna","161",,
"279","Daktylowa","Stare Miasto","droga wewnętrzna","606",,
"280","Daleka","Grunwald","gminna","388",,
"281","Dalemińska","Stare Miasto","gminna","270",,
"282","Daliowa","Grunwald","gminna","461",,
"283","Danuty","Nowe Miasto","gminna","312",,
"284","Danysz Anny","Jeżyce","gminna","226",,
"285","Darłowska","Jeżyce","gminna","962",,
"286","Darniowa","Nowe Miasto","gminna","2183",,
"287","Darzyborska","Nowe Miasto","gminna","4000","Borówki","granica miasta"
"288","Darzyńska","Nowe Miasto","gminna","1893",,
"289","Daszewicka","Nowe Miasto","gminna","547",,
"290","Daszyńskiego Ignacego","Wilda","gminna","76",,
"291","Dąbrówki","Wilda","gminna","107",,
"292","Dedala","Jeżyce","gminna","82",,
"293","Degi Wiktora plac","Stare Miasto","droga wewnętrzna","176",,
"294","Dembowskiego Edwarda","Jeżyce","gminna","134",,
"295","Dereniowa","Nowe Miasto","droga wewnętrzna","108",,
"296","Deszczowa","Stare Miasto","gminna","949",,
"297","Dettloffa Szczęsnego","Stare Miasto","droga wewnętrzna","264",,
"298","Dębicka","Nowe Miasto","gminna","543",,
"299","Dęblińska","Nowe Miasto","gminna","251",,
"300","Dębowa","Wilda","droga wewnętrzna","217",,
"301","Diamentowa","Stare Miasto","gminna","445",,
"302","Długa","Stare Miasto","gminna","504",,
"303","Długosza Jana","Jeżyce","gminna","382",,
"304","Dmowskiego Romana","Grunwald","gminna","1959",,
"305","Dniestrzańska","Jeżyce","gminna","233",,
"306","Do Alei","Stare Miasto","droga wewnętrzna","167",,
"307","Dobiegniewska","Grunwald","gminna","288",,
"308","Dobra","Jeżyce","gminna","417",,
"309","Dobrepole","Nowe Miasto","gminna","752",,
"310","Dobrochny","Nowe Miasto","gminna","123",,
"311","Dobrodzieńska","Grunwald","droga wewnętrzna","67",,
"312","Dobrogojskiego Ignacego","Stare Miasto","gminna","482",,
"313","Dobromiejska","Jeżyce","gminna","264",,
"314","Dobromiły","Nowe Miasto","gminna","643",,
"315","Dobrowita","Nowe Miasto","gminna","233",,
"316","Dobrowolskiego Gieorgija","Stare Miasto","droga wewnętrzna","298",,
"317","Dobrzyckiego Mikołaja","Stare Miasto","gminna","489",,
"318","Doleńska","Nowe Miasto","droga wewnętrzna","363",,
"319","Dolina","Wilda","gminna","319",,
"320","Dolna","Stare Miasto","gminna","772",,
"321","Dolne Chyby","Jeżyce","droga wewnętrzna","168",,
"322","Dolska","Nowe Miasto","droga wewnętrzna","684",,
"323","Domeyki Ignacego","Nowe Miasto","gminna","467",,
"324","Dominikańska","Stare Miasto","gminna","146",,
"325","Dowbora-Muśnickiego Józefa","Stare Miasto","powiatowa","132",,
"326","Dożynkowa","Stare Miasto","gminna","266",,
"327","Drawska","Wilda","gminna","62",,
"328","Drewlańska","Stare Miasto","gminna","199",,
"329","Drewsa Romana","Stare Miasto","droga wewnętrzna","299",,
"330","Drobna","Grunwald","gminna","80",,
"331","Drobnika Tomasza","Stare Miasto","gminna","482",,
"332","Drogocin","Stare Miasto","droga wewnętrzna","79",,
"333","Drogowców","Jeżyce","gminna","177",,
"334","Drużbackiej Elżbiety","Grunwald","gminna","105",,
"335","Drużbickiego Kaspra","Stare Miasto","gminna","515",,
"336","Drużynowa","Grunwald","gminna","417",,
"337","Drwali","Nowe Miasto","droga wewnętrzna","186",,
"338","Drwęskiego Jarogniewa","Jeżyce","gminna","324",,
"339","Drzewieckiego Conrada","Grunwald","gminna","70",,
"340","Drzewieckiego Stefana","Jeżyce","gminna","463",,
"341","Drzewna","Wilda","droga wewnętrzna","165",,
"342","Drzymały Michała","Jeżyce","gminna","562",,
"343","Dukielska","Jeżyce","gminna","220",,
"344","Dunajecka","Jeżyce","gminna","271",,
"345","Dunikowskiego Xawerego","Wilda","gminna","94",,
"346","Duszna","Grunwald","gminna","251",,
"347","Dusznicka","Jeżyce","gminna","214",,
"348","Dwatory","Grunwald","gminna","97",,
"349","Dworcowa","Stare Miasto","gminna","422",,
"350","Dworkowa","Jeżyce","gminna","112",,
"351","Dworska","Stare Miasto","gminna","339",,
"352","Dybowskiego Benedykta Tadeusza","Stare Miasto","droga wewnętrzna","499",,
"353","Dygata Stanisława","Jeżyce","droga wewnętrzna","69",,
"354","Dziadoszańska","Nowe Miasto","gminna","140",,
"355","Działkowa","Grunwald","gminna","211",,
"356","Działoszycka","Nowe Miasto","gminna","341",,
"357","Działowa","Stare Miasto","gminna","252",,
"358","Działyńskich","Stare Miasto","gminna","168",,
"359","Dzicza","Nowe Miasto","gminna","167",,
"360","Dzieci Wrzesińskich","Nowe Miasto","gminna","282",,
"361","Dziedzicka","Nowe Miasto","gminna","869",,
"362","Dziekańska","Nowe Miasto","gminna","186",,
"363","Dziewanny","Stare Miasto","gminna","92",,
"364","Dziewińska","Grunwald","gminna","1302",,
"365","Dzięgielowa","Stare Miasto","gminna","1547",,
"366","Dziurawcowa","Stare Miasto","gminna","208",,
"367","Dziwnowska","Jeżyce","gminna","108",,
"368","Elbląska","Jeżyce","gminna","989",,
"369","Engeströma Wawrzyńca","Jeżyce","gminna","334",,
"370","Estońska","Stare Miasto","droga wewnętrzna","478",,
"371","Eurypidesa","Jeżyce","gminna","329",,
"372","Ewangelicka","Stare Miasto","gminna","797",,
"373","Ezopa","Grunwald","gminna","128",,
"374","Fabryczna","Wilda","gminna","459",,
"375","Falista","Nowe Miasto","gminna","160",,
"376","Faszynowa","Nowe Miasto","droga wewnętrzna","386",,
"377","Fedrusa","Grunwald","gminna","104",,
"378","Feldman Krystyny zaułek","Jeżyce","droga wewnętrzna","47",,
"379","Fiedlera Arkadego","Jeżyce","gminna","244",,
"380","Fieldorfa Augusta Emila","Jeżyce","gminna","673",,
"381","Figowa","Stare Miasto","droga wewnętrzna","93",,
"382","Filarecka","Wilda","gminna","150",,
"383","Filipińska","Nowe Miasto","gminna","146",,
"384","Fiołkowa","Wilda","gminna","226",,
"385","Firlika Franciszka","Jeżyce","droga wewnętrzna","342",,
"386","Floksowa","Grunwald","gminna","1037",,
"387","Folwarczna","Nowe Miasto","gminna","2779",,
"388","Forsycjowa","Grunwald","droga wewnętrzna","302",,
"389","Franciszkańska","Stare Miasto","gminna","130",,
"390","Franowo","Nowe Miasto","gminna","460",,
"391","Fredry Aleksandra","Stare Miasto","powiatowa","594",,
"392","Fregatowa","Jeżyce","droga wewnętrzna","283",,
"393","Frezjowa","Grunwald","gminna","939",,
"394","Fromborska","Jeżyce","gminna","264",,
"395","Gabszewicza Aleksandra","Nowe Miasto","droga wewnętrzna","405",,
"396","Gajcego Tadeusza","Jeżyce","droga wewnętrzna","129",,
"397","Gajcego Tadeusza","Jeżyce","gminna","126",,
"398","Gajowa","Jeżyce","gminna","209",,
"399","Galeonowa","Jeżyce","droga wewnętrzna","42",,
"400","Galileusza","Grunwald","droga wewnętrzna","762",,
"401","Galla Anonima","Jeżyce","gminna","502",,
"402","Gałczyńskiego Konstantego Ildefonsa","Grunwald","gminna","497",,
"403","Garaszewo","Nowe Miasto","gminna","4123","Sarbinowska","Pokrzywno"
"404","Garczyńskiego Józefa","Wilda","gminna","174",,
"405","Gardowska","Nowe Miasto","gminna","183",,
"406","Garncarska","Stare Miasto","gminna","146",,
"407","Garsteckiego Maksymiliana","Stare Miasto","gminna","194",,
"408","Gąsawska","Nowe Miasto","gminna","62",,
"409","Gdańska","Nowe Miasto","gminna","135",,
"410","Geodetów","Jeżyce","gminna","176",,
"411","Gerberowa","Grunwald","gminna","589",,
"412","Gerwela Czesława","Grunwald","droga wewnętrzna","48",,
"413","Gęsia","Grunwald","gminna","103",,
"414","Gieburowskiego Wacława","Stare Miasto","droga wewnętrzna","400",,
"415","Gladiolowa","Grunwald","gminna","300",,
"416","Glebowa","Nowe Miasto","gminna","1782",,
"417","Gliniana","Grunwald","gminna","66",,
"418","Glinianki","Grunwald","droga wewnętrzna","279",,
"419","Glinienko","Stare Miasto","gminna","937",,
"420","Glinno","Stare Miasto","droga wewnętrzna","96",,
"421","Gliwicka","Wilda","gminna","172",,
"422","Gładka","Nowe Miasto","gminna","77",,
"423","Głazowa","Wilda","gminna","600",,
"424","Głęboka","Wilda","droga wewnętrzna","78",,
"425","Głogowa","Wilda","gminna","133",,
"426","Głowicka","Grunwald","gminna","187",,
"427","Główieniec","Nowe Miasto","gminna","418",,
"428","Głuchowska","Grunwald","gminna","470",,
"429","Gminna","Nowe Miasto","gminna","312",,
"430","Gniewka","Nowe Miasto","gminna","86",,
"431","Gniewska","Jeżyce","gminna","989",,
"432","Gogola Nikołaja","Jeżyce","droga wewnętrzna","135",,
"433","Gojawiczyńskiej Poli","Jeżyce","droga wewnętrzna","119",,
"434","Goleniowska","Grunwald","droga wewnętrzna","89",,
"435","Goleszowska","Wilda","gminna","652",,
"436","Gołdapska","Jeżyce","gminna","73",,
"437","Gołębia","Stare Miasto","gminna","170",,
"438","Gołężycka","Nowe Miasto","gminna","1481",,
"439","Gołubiewa Antoniego","Jeżyce","gminna","83",,
"440","Gołuchowska","Wilda","gminna","432",,
"441","Gombrowicza Witolda","Jeżyce","gminna","184",,
"442","Goplańska","Nowe Miasto","gminna","801",,
"443","Gorajska","Jeżyce","gminna","743",,
"444","Gorczycowa","Stare Miasto","droga wewnętrzna","71",,
"445","Gorczyczewskiego Jana","Jeżyce","gminna","120",,
"446","Gorlicka","Nowe Miasto","gminna","239",,
"447","Gorzowska","Grunwald","gminna","253",,
"448","Gorzyńska","Jeżyce","gminna","272",,
"449","Gorzysława","Nowe Miasto","gminna","903",,
"450","Gosienieckiego Wiktora","Wilda","gminna","175",,
"451","Gospodarska","Nowe Miasto","gminna","2185","Spławie ","granica miasta"
"452","Gostyńska","Grunwald","gminna","587",,
"453","Gostyńska","Wilda","gminna","900",,
"454","Gościnna","Nowe Miasto","gminna","980",,
"455","Goździkowa","Grunwald","gminna","109",,
"456","Góra Przemysła","Stare Miasto","gminna","72",,
"457","Góralska","Jeżyce","gminna","221",,
"458","Górczyńska","Grunwald","gminna","468",,
"459","Górecka","Grunwald","droga wewnętrzna","346",,
"460","Górki","Grunwald","gminna","326",,
"461","Górnicza","Grunwald","gminna","445",,
"462","Górska","Nowe Miasto","gminna","158",,
"463","Grabowa","Wilda","gminna","355",,
"464","Grabowska","Grunwald","droga wewnętrzna","97",,
"465","Grajewska","Jeżyce","gminna","350",,
"466","Granatowa","Stare Miasto","droga wewnętrzna","341",,
"467","Graniczna","Grunwald","gminna","189",,
"468","Graniowa","Grunwald","gminna","105",,
"469","Granowska","Grunwald","gminna","453",,
"470","Grąbczowska","Grunwald","gminna","304",,
"471","Grimma Wilhelma","Grunwald","gminna","263",,
"472","Grobelnego Józefa Edwarda","Grunwald","gminna","175",,
"473","Grobla","Stare Miasto","gminna","601",,
"474","Grochmalickiego Jana","Stare Miasto","droga wewnętrzna","138",,
"475","Grochowe Łąki","Stare Miasto","gminna","206",,
"476","Grochowiaka Stanisława","Jeżyce","droga wewnętrzna","191",,
"477","Grodnicka","Nowe Miasto","gminna","591",,
"478","Grodzieńska","Nowe Miasto","droga wewnętrzna","423",,
"479","Grodziska","Grunwald","gminna","567",,
"480","Grodziska","Jeżyce","gminna","527",,
"481","Gromadzka","Stare Miasto","gminna","351",,
"482","Gronostajowa","Nowe Miasto","gminna","222",,
"483","Gronowa","Stare Miasto","gminna","405",,
"484","Grota-Roweckiego Stefana","Stare Miasto","gminna","104",,
"485","Grotkowska","Grunwald","gminna","332",,
"486","Grottgera Artura","Grunwald","gminna","253",,
"487","Grójecka","Nowe Miasto","gminna","93",,
"488","Grudziądzka","Jeżyce","droga wewnętrzna","112",,
"489","Grudzieniec","Jeżyce","gminna","1736",,
"490","Gruntowa","Grunwald","droga wewnętrzna","154",,
"491","Gruszkowa","Wilda","gminna","268",,
"492","Gruzińska","Stare Miasto","droga wewnętrzna","397",,
"493","Gryfińska","Grunwald","gminna","513",,
