"WYKAZ ULIC UKŁADU UZUPEŁNIAJĄCEGO",,,,,,
"Lp.","Ulica","dzielnica","kategoria","Długość [m]","Przebieg od","Przebieg do"
"994","Miedziana","Grunwald","gminna","604",,
"995","Mielecka","Nowe Miasto","gminna","330",,
"996","Mieleszyńska","Grunwald","gminna","372",,
"997","Mielęckiego Kazimierza","Wilda","gminna","110",,
"998","Mielżyńskiego Seweryna","Stare Miasto","gminna","146",,
"999","Mieszkowska","Nowe Miasto","droga wewnętrzna","501",,
"1000","Międzyborska","Grunwald","droga wewnętrzna","108",,
"1001","Międzychodzka","Grunwald","gminna","252",,
"1002","Międzyleska","Jeżyce","gminna","440",,
"1003","Międzymoście plac","Stare Miasto","gminna","23",,
"1004","Międzyzdrojska","Jeżyce","droga wewnętrzna","718",,
"1005","Międzyzdrojska","Jeżyce","gminna","948",,
"1006","Miętowa","Stare Miasto","gminna","1421",,
"1007","Migdałowa","Stare Miasto","droga wewnętrzna","1170",,
"1008","Mikke Tadeusza","Jeżyce","gminna","207",,
"1009","Mikołajecka","Jeżyce","gminna","118",,
"1010","Mikołowska","Grunwald","gminna","505",,
"1011","Mikstacka","Grunwald","droga wewnętrzna","137",,
"1012","Milczańska","Nowe Miasto","gminna","630",,
"1013","Milczańska","Nowe Miasto","droga wewnętrzna","319",,
"1014","Milicka","Wilda","gminna","64",,
"1015","Miła","Jeżyce","gminna","297",,
"1016","Miłosławska","Nowe Miasto","gminna","369",,
"1017","Miłosza Czesława","Jeżyce","droga wewnętrzna","349",,
"1018","Miłowita","Nowe Miasto","gminna","219",,
"1019","Mińska","Nowe Miasto","gminna","579",,
"1020","Miodowa","Jeżyce","gminna","875",,
"1021","Mirosławiecka","Grunwald","gminna","114",,
"1022","Mirtowa","Stare Miasto","droga wewnętrzna","194",,
"1023","Misia Uszatka","Grunwald","gminna","65",,
"1024","Miśnieńska","Grunwald","gminna","1369",,
"1025","Mleczowa","Stare Miasto","gminna","990",,
"1026","Mławska","Jeżyce","gminna","101",,
"1027","Młyńska","Stare Miasto","gminna","243",,
"1028","Modlińska","Nowe Miasto","gminna","278",,
"1029","Modra","Grunwald","gminna","389",,
"1030","Modrakowa","Wilda","gminna","155",,
"1031","Modrzejewskiej Heleny","Grunwald","gminna","106",,
"1032","Modrzewiowa","Wilda","gminna","245",,
"1033","Mogileńska","Nowe Miasto","gminna","387","Warszawska","Włocławska"
"1034","Mokra","Stare Miasto","gminna","57",,
"1035","Mołdawska","Stare Miasto","gminna","1063",,
"1036","Moraczewskiej Bibianny","Jeżyce","droga wewnętrzna","107",,
"1037","Morawska","Stare Miasto","gminna","288",,
"1038","Morawskiego Franciszka","Grunwald","gminna","166",,
"1039","Morelowa","Wilda","gminna","169",,
"1040","Morenowa","Stare Miasto","droga wewnętrzna","1140",,
"1041","Morska","Jeżyce","droga wewnętrzna","229",,
"1042","Morszyńska","Jeżyce","gminna","408",,
"1043","Morwowa","Nowe Miasto","gminna","267",,
"1044","Moryńska","Grunwald","gminna","273",,
"1045","Morzyczańska","Nowe Miasto","droga wewnętrzna","160",,
"1046","Mottego Marcelego","Grunwald","gminna","160",,
"1047","Mrągowska","Grunwald","gminna","547",,
"1048","Mrowińska","Jeżyce","gminna","610",,
"1049","Mroźna","Stare Miasto","droga wewnętrzna","134",,
"1050","Mrzeżyńska","Jeżyce","gminna","312",,
"1051","Mścibora","Nowe Miasto","gminna","1090",,
"1052","Murna","Stare Miasto","gminna","46",,
"1053","Muszkowska","Jeżyce","gminna","328",,
"1054","Muszyńska","Jeżyce","gminna","211",,
"1055","Mylna","Jeżyce","gminna","263",,
"1056","Myśliborska","Jeżyce","gminna","1224",,
"1057","Myśliwska","Grunwald","gminna","71",,
"1058","Na Dołku","Nowe Miasto","gminna","362",,
"1059","Na Miasteczku","Nowe Miasto","gminna","150",,
"1060","Na Podgórniku","Stare Miasto","droga wewnętrzna","218",,
"1061","Na Skarpie","Nowe Miasto","droga wewnętrzna","563",,
"1062","Na Stoku","Stare Miasto","droga wewnętrzna","829",,
"1063","Na Szańcach","Stare Miasto","gminna","457",,
"1064","Na Uboczu","Wilda","gminna","146",,
"1065","Nad Bogdanką","Jeżyce","gminna","82",,
"1066","Nad Jeziorem","Jeżyce","gminna","1976",,
"1067","Nad Krzesinką","Nowe Miasto","gminna","510",,
"1068","Nad Łężynką","Nowe Miasto","gminna","365",,
"1069","Nad Miedzą","Jeżyce","gminna","158",,
"1070","Nad Pokrzywką","Nowe Miasto","droga wewnętrzna","202",,
"1071","Nad Potokiem","Jeżyce","gminna","328",,
"1072","Nad Różanym Potokiem","Stare Miasto","gminna","1221",,
"1073","Nad Seganką","Jeżyce","gminna","151",,
"1074","Nad Spławką","Nowe Miasto","gminna","337",,
"1075","Nad Starynką","Nowe Miasto","droga wewnętrzna","458",,
"1076","Nadbrzeże","Stare Miasto","droga wewnętrzna","918",,
"1077","Nadolnik","Nowe Miasto","gminna","347",,
"1078","Nadwarciańska","Stare Miasto","gminna","5147",,
"1079","Nagietkowa","Grunwald","gminna","406",,
"1080","Nagórskiego Jana","Jeżyce","gminna","159",,
"1081","Nakielska","Nowe Miasto","droga wewnętrzna","27",,
"1082","Nałęczowska","Jeżyce","gminna","1482",,
"1083","Nałkowskiej Zofii","Jeżyce","gminna","464",,
"1084","Namysłowska","Grunwald","gminna","392",,
"1085","Napoleońska","Stare Miasto","gminna","232",,
"1086","Narcyzowa","Grunwald","gminna","391",,
"1087","Narewska","Jeżyce","gminna","215",,
"1088","Nasienna","Stare Miasto","gminna","425",,
"1089","Nasturcjowa","Grunwald","gminna","203",,
"1090","Nawigacyjna","Jeżyce","droga wewnętrzna","149",,
"1091","Nawrota Edwarda ks.","Jeżyce","gminna","331",,
"1092","Nefrytowa","Stare Miasto","droga wewnętrzna","89",,
"1093","Nehringa Władysława","Grunwald","gminna","169",,
"1094","Newtona Izaaka","Grunwald","droga wewnętrzna","287",,
"1095","Niecała","Grunwald","gminna","209",,
"1096","Niedbalskiego Stanisława","Wilda","gminna","95",,
"1097","Niedziałkowskiego Mieczysława","Wilda","gminna","439",,
"1098","Niegolewskich Andrzeja i Władysława","Grunwald","gminna","432",,
"1099","Niemcewicza Juliana","Jeżyce","gminna","136",,
"1100","Niemeńska","Jeżyce","gminna","253",,
"1101","Niepodległości plac","Stare Miasto","droga wewnętrzna","29",,
"1102","Niepołomicka","Jeżyce","droga wewnętrzna","76",,
"1103","Nieszawska","Nowe Miasto","gminna","343",,
"1104","Nieżychowskiego Kazimierza","Jeżyce","gminna","108",,
"1105","Niska","Jeżyce","gminna","343",,
"1106","Nizinna","Wilda","gminna","719",,
"1107","Niżańska","Nowe Miasto","gminna","1387",,
"1108","Normandzka","Stare Miasto","droga wewnętrzna","198",,
"1109","Norwida Cypriana","Jeżyce","gminna","403",,
"1110","Noskowskiego Zygmunta","Stare Miasto","gminna","568",,
"1111","Notecka","Jeżyce","gminna","200",,
"1112","Nowaka Alojzego","Wilda","gminna","79",,
"1113","Nowakowskiego Kazimierza plac","Grunwald","droga wewnętrzna","98",,
"1114","Nowakowskiego Stanisława","Wilda","gminna","282",,
"1115","Nowe Zagórze","Nowe Miasto","gminna","138",,
"1116","Nowogrodzka","Nowe Miasto","gminna","503",,
"1117","Nowokramska","Jeżyce","gminna","164",,
"1118","Nowosądecka","Nowe Miasto","gminna","786",,
"1119","Nowosolska","Grunwald","gminna","1082",,
"1120","Nowotarska","Nowe Miasto","gminna","534",,
"1121","Nowotomyska","Grunwald","gminna","123",,
"1122","Nowowiejskiego Feliksa","Stare Miasto","gminna","978",,
"1123","Nowy Świat","Jeżyce","droga wewnętrzna","312",,
"1124","Obozowa","Grunwald","gminna","359",,
"1125","Obronna","Grunwald","gminna","109",,
"1126","Obrońców Tobruku","Stare Miasto","gminna","191",,
"1127","Obrzańska","Grunwald","gminna","461",,
"1128","Obrzeże","Grunwald","gminna","357",,
"1129","Obrzyca","Nowe Miasto","droga wewnętrzna","692",,
"1130","Ochota","Nowe Miasto","gminna","165",,
"1131","Odległa","Grunwald","gminna","231",,
"1132","Odolanowska","Grunwald","droga wewnętrzna","184",,
"1133","Odrzycka","Grunwald","gminna","288",,
"1134","Ognik","Grunwald","droga wewnętrzna","584",,
"1135","Ogrodowa","Stare Miasto","gminna","396",,
"1136","Ojcowska","Nowe Miasto","gminna","80",,
"1137","Okolewo","Stare Miasto","gminna","707",,
"1138","Okonecka","Grunwald","gminna","174",,
"1139","Okonecka","Grunwald","droga wewnętrzna","188",,
"1140","Okopowa","Nowe Miasto","gminna","241",,
"1141","Okólna","Nowe Miasto","gminna","451",,
"1142","Okrętowa","Jeżyce","droga wewnętrzna","112",,
"1143","Okrzei Stefana","Wilda","gminna","373",,
"1144","Okulickiego Leopolda","Wilda","gminna","1135",,
"1145","Olchowa","Wilda","gminna","148",,
"1146","Olecka","Jeżyce","droga wewnętrzna","184",,
"1147","Oleśnicka","Grunwald","gminna","322",,
"1148","Olimpijska","Wilda","gminna","314",,
"1149","Oliwkowa","Nowe Miasto","gminna","300",,
"1150","Oliwska","Jeżyce","gminna","452",,
"1151","Olkuska","Nowe Miasto","gminna","420",,
"1152","Olsztyńska","Jeżyce","gminna","405",,
"1153","Olszynka","Grunwald","gminna","142",,
"1154","Olzańska","Jeżyce","gminna","155",,
"1155","Oławska","Grunwald","gminna","484",,
"1156","Omańkowskiej Janiny","Jeżyce","gminna","967",,
"1157","Opalenicka","Grunwald","gminna","826",,
"1158","Opalowa","Stare Miasto","gminna","94",,
"1159","Opatowska","Nowe Miasto","gminna","145",,
"1160","Opawska","Grunwald","gminna","389",,
"1161","Opłotki","Grunwald","gminna","662",,
"1162","Opoczyńska","Nowe Miasto","droga wewnętrzna","214",,
"1163","Oppmana Artura","Grunwald","gminna","72",,
"1164","Orawski plac","Jeżyce","gminna","72",,
"1165","Orężna","Grunwald","gminna","153",,
"1166","Orkana Władysława","Wilda","gminna","335",,
"1167","Orla","Nowe Miasto","droga wewnętrzna","231",,
"1168","Orląt","Nowe Miasto","gminna","66",,
"1169","Orna","Stare Miasto","gminna","202",,
"1170","Ornecka","Jeżyce","gminna","280",,
"1171","Orszańska","Grunwald","gminna","74",,
"1172","Orzechowa","Wilda","gminna","536",,
"1173","Orzeszkowej Elizy","Grunwald","gminna","232",,
"1174","Osiecka","Grunwald","gminna","169",,
"1175","Osinowa","Wilda","droga wewnętrzna","303",,
"1176","Oskierki","Grunwald","gminna","103",,
"1177","Ossowskiego Michała","Wilda","gminna","75",,
"1178","Ostatnia","Grunwald","gminna","408",,
"1179","Osterwy Juliusza","Grunwald","gminna","70",,
"1180","Ostrobramska","Grunwald","gminna","609",,
"1181","Ostrołęcka","Jeżyce","gminna","100",,
"1182","Ostroroga Jana","Grunwald","gminna","428",,
"1183","Ostrowska","Nowe Miasto","powiatowa","123",,
"1184","Ostródzka","Jeżyce","gminna","246",,
"1185","Ostrów Tumski","Nowe Miasto","gminna","546",,
"1186","Ostrówek","Nowe Miasto","gminna","182",,
"1187","Ostrzeszowska","Grunwald","droga wewnętrzna","218",,
"1188","Oświęcimska","Nowe Miasto","gminna","1880",,
"1189","Otwarta","Grunwald","droga wewnętrzna","169",,
"1190","Otwocka","Nowe Miasto","gminna","88",,
"1191","Owcza","Grunwald","gminna","1060",,
"1192","Owczarska","Jeżyce","gminna","229",,
"1193","Owidiusza","Jeżyce","gminna","385",,
"1194","Ownicka","Jeżyce","gminna","92",,
"1195","Owocowa","Nowe Miasto","gminna","809",,
"1196","Owsiana","Stare Miasto","gminna","650",,
"1197","Ozimina","Stare Miasto","gminna","314",,
"1198","Ożarowska","Nowe Miasto","powiatowa","1286","Czernichowska","Głuszyna"
"1199","Ożarowska","Nowe Miasto","droga wewnętrzna","1535","Głuszyna","granica miasta"
"1200","Pabianicka","Nowe Miasto","gminna","167",,
"1201","Pacajewa Wiktora","Stare Miasto","droga wewnętrzna","361",,
"1202","Paczkowska","Grunwald","gminna","603",,
"1203","Paczoskiego Józefa","Stare Miasto","droga wewnętrzna","139",,
"1204","Paderewskiego Ignacego","Stare Miasto","gminna","303",,
"1205","Pajzderskiego Nikodema","Jeżyce","gminna","224",,
"1206","Palucha Mieczysława","Jeżyce","gminna","228",,
"1207","Pałucka","Jeżyce","gminna","437",,
"1208","Pamiątkowa","Wilda","gminna","758",,
"1209","Pana Kleksa","Grunwald","gminna","107",,
"1210","Pana Twardowskiego","Grunwald","gminna","153",,
"1211","Panny","Nowe Miasto","droga wewnętrzna","139",,
"1212","Panny Marii","Nowe Miasto","gminna","652",,
"1213","Parandowskiego Jana","Jeżyce","gminna","222",,
"1214","Parkowa","Grunwald","gminna","43",,
"1215","Parnickiego Teodora","Jeżyce","gminna","235",,
"1216","Partyzancka","Wilda","gminna","244",,
"1217","Pasieka","Stare Miasto","gminna","404",,
"1218","Pasłęcka","Jeżyce","gminna","282",,
"1219","Pasterska","Stare Miasto","gminna","567",,
"1220","Paszty Józefa","Jeżyce","droga wewnętrzna","108",,
"1221","Paukszty Eugeniusza","Jeżyce","droga wewnętrzna","144",,
"1222","Pawia","Nowe Miasto","droga wewnętrzna","1003",,
"1223","Pawlikowskiej-Jasnorzewskiej Marii","Jeżyce","gminna","133",,
"1224","Pawlikowskiej-Jasnorzewskiej Marii","Jeżyce","droga wewnętrzna","133",,
"1225","Pawłowskiego Stanisława","Stare Miasto","gminna","197",,
"1226","Pelplińska","Jeżyce","gminna","260",,
"1227","Perkoza","Nowe Miasto","droga wewnętrzna","583",,
"1228","Perkuna","Stare Miasto","gminna","382",,
"1229","Perłowska","Grunwald","gminna","481",,
"1230","Perzycka","Grunwald","gminna","2436",,
"1231","Petuniowa","Grunwald","droga wewnętrzna","170",,
"1232","PGR Wielkie","Jeżyce","droga wewnętrzna","387",,
"1233","Piargowa","Grunwald","droga wewnętrzna","196",,
"1234","Piaseckiego Eugeniusza","Nowe Miasto","droga wewnętrzna","423",,
"1235","Piaskowa","Stare Miasto","gminna","168",,
"1236","Piastowska","Wilda","powiatowa","890","Droga Dębińska","Hetmańska"
"1237","Piastowska","Wilda","droga wewnętrzna","1726","Królowej Jadwigi (bez przejazdu)","Hetmańska ( bez przejazdu)"
"1238","Piekałkiewicza Jana","Stare Miasto","gminna","69",,
"1239","Piekary","Stare Miasto","gminna","258",,
"1240","Pierwiosnkowa","Grunwald","droga wewnętrzna","102",,
"1241","Pietrusińskiego Jana","Wilda","gminna","239",,
"1242","Piękna","Jeżyce","gminna","788",,
"1243","Pileckiego Witolda","Jeżyce","gminna","498",,
"1244","Pilicka","Jeżyce","gminna","238",,
"1245","Pilotów","Jeżyce","gminna","672",,
"1246","Pilska","Nowe Miasto","gminna","180",,
"1247","Piłsudskiego Józefa","Nowe Miasto","droga wewnętrzna","709",,
"1248","Pińczowska","Nowe Miasto","gminna","241",,
"1249","Piołunowa","Stare Miasto","gminna","1412",,
"1250","Pionierska","Wilda","gminna","278",,
"1251","Piotrowska","Nowe Miasto","gminna","192",,
"1252","Piwna","Nowe Miasto","gminna","337","Kobylepole","bez przejazdu stacja PKP"
"1253","Piwnika Jana al.","Jeżyce","gminna","209",,
"1254","Piwoniowa","Grunwald","gminna","396",,
"1255","Platanowa","Wilda","gminna","86",,
"1256","Plater Emilii","Wilda","gminna","144",,
"1257","Plauta","Jeżyce","gminna","131",,
"1258","Plebańska","Jeżyce","gminna","72",,
"1259","Pleszewska","Nowe Miasto","gminna","525",,
"1260","Plonowa","Nowe Miasto","gminna","364",,
"1261","Płocka","Nowe Miasto","gminna","189",,
"1262","Płomienna","Grunwald","droga wewnętrzna","321",,
"1263","Płowiecka","Grunwald","gminna","198",,
"1264","Pniewska","Jeżyce","gminna","323",,
"1265","Pniewskiego Władysława","Stare Miasto","gminna","266",,
"1266","Pobiedziska","Nowe Miasto","droga wewnętrzna","162",,
"1267","Pobielska","Grunwald","gminna","75",,
"1268","Pochyła","Nowe Miasto","gminna","699",,
"1269","Pod Lipami aleja","Stare Miasto","droga wewnętrzna","695",,
"1270","Podbiałowa","Stare Miasto","gminna","234",,
"1271","Podbipięty Longinusa","Grunwald","gminna","167",,
"1272","Podbórska","Nowe Miasto","gminna","113",,
"1273","Podchorążych","Grunwald","gminna","596",,
"1274","Podgajska","Jeżyce","gminna","158",,
"1275","Podgórna","Stare Miasto","powiatowa","276",,
"1276","Podgórze","Stare Miasto","gminna","96",,
"1277","Podhalańska","Jeżyce","gminna","116",,
"1278","Podjaryszki","Nowe Miasto","gminna","573",,
"1279","Podkomorska","Grunwald","gminna","617",,
"1280","Podlaska","Jeżyce","gminna","356",,
"1281","Podleśna","Nowe Miasto","gminna","243",,
"1282","Podmiejska","Nowe Miasto","gminna","207",,
"1283","Podmokła","Wilda","gminna","280",,
"1284","Podolska","Jeżyce","gminna","269",,
"1285","Podstolińska","Grunwald","gminna","150",,
"1286","Pogodna","Grunwald","gminna","1280",,
"1287","Pogorzelska","Grunwald","droga wewnętrzna","329",,
"1288","Polanicka","Jeżyce","droga wewnętrzna","75",,
"1289","Polanka","Nowe Miasto","gminna","539",,
"1290","Polanowska","Jeżyce","gminna","2219",,
"1291","Polańska","Stare Miasto","gminna","157",,
"1292","Poleska","Jeżyce","gminna","199",,
"1293","Poligonowa","Stare Miasto","droga wewnętrzna","3367",,
"1294","Pollaka Romana","Stare Miasto","droga wewnętrzna","214",,
"1295","Polna","Grunwald","gminna","385",,
"1296","Polska","Jeżyce","powiatowa","210",,
"1297","Połaniecka","Nowe Miasto","gminna","198",,
"1298","Połczyńska","Jeżyce","gminna","137",,
"1299","Południowa","Wilda","gminna","572",,
"1300","Pomarańczowa","Stare Miasto","gminna","1279",,
"1301","Pomorska","Jeżyce","gminna","163",,
"1302","Poniecka","Wilda","gminna","94",,
"1303","Popiela","Stare Miasto","gminna","212",,
"1304","Poplińskich","Wilda","gminna","126",,
"1305","Popradzka","Jeżyce","gminna","303",,
"1306","Poprzeczna","Nowe Miasto","gminna","217",,
"1307","Poranek","Grunwald","droga wewnętrzna","320",,
"1308","Porazińskiej Janiny","Grunwald","gminna","347",,
"1309","Poręba","Stare Miasto","gminna","358",,
"1310","Poronińska","Jeżyce","gminna","260",,
"1311","Porzeczkowa","Nowe Miasto","gminna","1259",,
"1312","Posadzego Ignacego ks.","Nowe Miasto","gminna","155",,
"1313","Postawska","Stare Miasto","droga wewnętrzna","114",,
"1314","Poświata","Grunwald","gminna","70",,
"1315","Poświatowskiej Haliny","Jeżyce","droga wewnętrzna","258",,
"1316","Potockiej Klaudyny","Grunwald","gminna","517",,
"1317","Potworowskiego Gustawa","Grunwald","gminna","227",,
"1318","Powidzka","Nowe Miasto","gminna","216",,
"1319","Powojowa","Grunwald","droga wewnętrzna","344",,
"1320","Powstańców Wielkopolskich","Stare Miasto","gminna","458",,
"1321","Powstańcza","Wilda","gminna","235",,
"1322","Pozdawnicka","Grunwald","gminna","332",,
"1323","Poziomkowa","Nowe Miasto","gminna","220",,
"1324","Poznańskie Sady","Nowe Miasto","gminna","589",,
"1325","Półwiejska","Stare Miasto","gminna","675",,
"1326","Prabucka","Jeżyce","droga wewnętrzna","120",,
"1327","Prauzińskiego Leona","Jeżyce","droga wewnętrzna","138",,
"1328","Prądnicka","Jeżyce","droga wewnętrzna","88",,
"1329","Prądzyńskiego Ignacego","Wilda","gminna","466",,
"1330","Promyk","Grunwald","droga wewnętrzna","141",,
"1331","Proroka Leszka","Jeżyce","gminna","382",,
"1332","Prosta","Grunwald","droga wewnętrzna","211",,
"1333","Prośnicka","Grunwald","gminna","118",,
"1334","Prowansalska","Stare Miasto","droga wewnętrzna","173",,
"1335","Prusa Bolesława","Jeżyce","gminna","204",,
"1336","Prusimska","Jeżyce","gminna","202",,
"1337","Pruszkowska","Nowe Miasto","gminna","217",,
"1338","Prużańska","Nowe Miasto","gminna","78",,
"1339","Przasnyska","Jeżyce","gminna","323",,
"1340","Prząśniczki","Nowe Miasto","gminna","172",,
"1341","Przebiśniegowa","Grunwald","gminna","207",,
"1342","Przedborska","Nowe Miasto","gminna","168",,
"1343","Przedpole","Nowe Miasto","droga wewnętrzna","104",,
"1344","Przelot","Jeżyce","droga wewnętrzna","372",,
"1345","Przełajowa","Stare Miasto","gminna","355",,
"1346","Przełęcz","Wilda","gminna","784",,
"1347","Przełom","Wilda","gminna","153",,
"1348","Przemyska","Nowe Miasto","gminna","972",,
"1349","Przepiórcza","Grunwald","droga wewnętrzna","223",,
"1350","Przeskok","Nowe Miasto","gminna","206",,
"1351","Przesmyk","Grunwald","gminna","161",,
"1352","Prześwit","Jeżyce","gminna","112",,
"1353","Przeworska","Nowe Miasto","droga wewnętrzna","164",,
"1354","Przy Dolinie","Wilda","droga wewnętrzna","86",,
"1355","Przybrodzka","Jeżyce","gminna","92",,
"1356","Przybylskiego Józefa","Wilda","gminna","95",,
"1357","Przygraniczna","Jeżyce","gminna","266",,
"1358","Przyjemna","Nowe Miasto","droga wewnętrzna","729",,
"1359","Przylaszczkowa","Grunwald","droga wewnętrzna","302",,
"1360","Przyłuskiego Leona","Stare Miasto","gminna","204",,
"1361","Przystań","Nowe Miasto","gminna","213",,
"1362","Przytoczna","Jeżyce","gminna","205",,
"1363","Psarskie","Jeżyce","gminna","104",,
"1364","Pskowska","Stare Miasto","droga wewnętrzna","54",,
"1365","Pstrowskiego Wincentego","Nowe Miasto","gminna","689",,
"1366","Pszczelna","Stare Miasto","gminna","416",,
"1367","Pszczyńska","Grunwald","gminna","253",,
"1368","Pszenna","Stare Miasto","gminna","161",,
"1369","Ptasia","Grunwald","gminna","650",,
"1370","Ptaszkowska","Grunwald","gminna","202",,
"1371","Pucka","Jeżyce","gminna","439",,
"1372","Puławska","Nowe Miasto","gminna","171",,
"1373","Pułtuska","Nowe Miasto","gminna","244",,
"1374","Pusta","Nowe Miasto","gminna","1024",,
"1375","Pustkowska","Nowe Miasto","droga wewnętrzna","198",,
"1376","Puszkina Aleksandra","Jeżyce","gminna","290",,
"1377","Pużaka Kazimierza","Wilda","gminna","89",,
"1378","Pyrzyczańska","Nowe Miasto","gminna","251",,
"1379","Quadro Jana Baptysty","Stare Miasto","droga wewnętrzna","58",,
"1380","Rabczańska","Jeżyce","gminna","491",,
"1381","Raciborska","Jeżyce","gminna","101",,
"1382","Racjonalizatorów","Wilda","droga wewnętrzna","276",,
"1383","Racławicka","Grunwald","gminna","566",,
"1384","Raczyńskiego Edwarda","Jeżyce","gminna","1554",,
"1385","Radlińska","Jeżyce","droga wewnętrzna","132",,
"1386","Radłowa","Stare Miasto","gminna","273",,
"1387","Radomska","Nowe Miasto","gminna","237",,
"1388","Radosna","Jeżyce","gminna","715",,
"1389","Radowita","Nowe Miasto","gminna","327",,
"1390","Radyńska","Grunwald","gminna","307",,
"1391","Radziejewskiego Mieczysława ks. aleja","Nowe Miasto","droga wewnętrzna","619",,
"1392","Radziejowska","Nowe Miasto","droga wewnętrzna","59",,
"1393","Radziwoja","Nowe Miasto","powiatowa","1154",,
"1394","Raka","Nowe Miasto","droga wewnętrzna","172",,
"1395","Rakietowa","Nowe Miasto","gminna","109",,
"1396","Rakowicza Jana","Jeżyce","droga wewnętrzna","238",,
"1397","Ranowska","Nowe Miasto","gminna","168",,
"1398","Rapackiego Wincentego","Grunwald","gminna","86",,
"1399","Raszkowska","Grunwald","droga wewnętrzna","69",,
"1400","Raszyńska","Grunwald","gminna","590",,
"1401","Rataja Macieja","Stare Miasto","gminna","822",,
"1402","Rataje","Nowe Miasto","droga wewnętrzna","285",,
"1403","Rawicka","Grunwald","gminna","562",,
"1404","Rawicka","Wilda","gminna","1175",,
"1405","Rawicz-Mysłowskiego Mieczysława","Jeżyce","gminna","148",,
"1406","Rdestowa","Stare Miasto","droga wewnętrzna","149",,
"1407","Reczeńska","Wilda","gminna","123",,
"1408","Regatowa","Jeżyce","gminna","423",,
"1409","Reglowa","Grunwald","gminna","173",,
"1410","Reja Mikołaja","Jeżyce","gminna","105",,
"1411","Rejewskiego Mariana","Wilda","gminna","992",,
"1412","Rejtana Tadeusza","Jeżyce","gminna","354",,
"1413","Reknicka","Nowe Miasto","gminna","634",,
"1414","Rekreacyjna","Jeżyce","droga wewnętrzna","651",,
"1415","Rembertowska","Grunwald","gminna","368",,
"1416","Republik aleja","Stare Miasto","droga wewnętrzna","2261",,
"1417","Retmańska","Jeżyce","gminna","353",,
"1418","Rewalska","Jeżyce","gminna","232",,
"1419","Rezedowa","Grunwald","gminna","216",,
"1420","Rivolego Józefa","Jeżyce","droga wewnętrzna","119",,
"1421","Robocza","Wilda","gminna","1150",,
"1422","Rodawska","Nowe Miasto","gminna","728",,
"1423","Rodowicza Jana","Jeżyce","gminna","98",,
"1424","Rodziewiczówny Marii","Jeżyce","gminna","183",,
"1425","Rodzynkowa","Stare Miasto","droga wewnętrzna","61",,
"1426","Rogalińskiego Józefa","Grunwald","gminna","213",,
"1427","Rogowska","Nowe Miasto","gminna","62",,
"1428","Rogozińska","Jeżyce","gminna","285",,
"1429","Rojna","Grunwald","gminna","98",,
"1430","Rokietnicka","Grunwald","gminna","353",,
"1431","Rokity","Grunwald","gminna","58",,
"1432","Rolna","Wilda","gminna","1242",,
"1433","Ropczycka","Nowe Miasto","gminna","1155",,
"1434","Rosnowska","Grunwald","gminna","143",,
"1435","Rostworowskiego Stanisława","Jeżyce","gminna","641",,
"1436","Roślinna","Nowe Miasto","gminna","1166",,
"1437","Rozewska","Nowe Miasto","gminna","118",,
"1438","Rozmarynowa","Wilda","gminna","146",,
"1439","Roztocka","Grunwald","gminna","83",,
"1440","Rozwadowska","Nowe Miasto","gminna","1554",,
"1441","Rożka Marcina","Jeżyce","gminna","300",,
"1442","Równa","Nowe Miasto","gminna","164",,
"1443","Różana","Wilda","gminna","335",,
"1444","Różany Targ","Stare Miasto","droga wewnętrzna","72",,
"1445","Różyckiego Jerzego","Wilda","gminna","64",,
"1446","Różyckiego Stefana","Grunwald","gminna","113",,
"1447","Różyczkowa","Grunwald","gminna","354",,
"1448","Rubież","Stare Miasto","gminna","2307",,
"1449","Rubinowa","Stare Miasto","droga wewnętrzna","218",,
"1450","Ruczajowa","Grunwald","gminna","151",,
"1451","Rudnickiego Mikołaja","Stare Miasto","droga wewnętrzna","250",,
"1452","Rudnicze","Grunwald","gminna","93",,
"1453","Rudzka","Nowe Miasto","gminna","583",,
"1454","Rugego Tadeusza","Jeżyce","gminna","186",,
"1455","Rugijska","Nowe Miasto","gminna","482",,
"1456","Rumcajsa","Grunwald","gminna","84",,
"1457","Rumiankowa","Stare Miasto","gminna","1784",,
"1458","Rumuńska","Grunwald","gminna","456",,
"1459","Rungego Stanisława","Stare Miasto","droga wewnętrzna","87",,
"1460","Ruska","Stare Miasto","gminna","146",,
"1461","Ryb","Nowe Miasto","droga wewnętrzna","161",,
"1462","Rybaki","Stare Miasto","gminna","515",,
"1463","Rybitwy","Nowe Miasto","droga wewnętrzna","430",,
"1464","Rybnicka","Grunwald","gminna","561",,
"1465","Rybojadzka","Jeżyce","gminna","122",,
"1466","Rycerska","Grunwald","gminna","1035",,
"1467","Rydlewskich Marii i Celestyna","Jeżyce","gminna","107",,
"1468","Rydzowa","Nowe Miasto","gminna","1026",,
"1469","Rydzyńska","Wilda","gminna","250",,
"1470","Rylejewa Kondratija","Stare Miasto","droga wewnętrzna","421",,
"1471","Rylla Franciszka","Grunwald","gminna","74",,
"1472","Rymanowska","Nowe Miasto","gminna","483",,
"1473","Rymarkiewicza Jana","Stare Miasto","gminna","258",,
"1474","Rymera Józefa","Wilda","gminna","137",,
"1475","Rynarzewska","Grunwald","gminna","204",,
"1476","rynek Jeżycki","Jeżyce","gminna","84",,
"1477","rynek Łazarski","Grunwald","gminna","524",,
