60-232	ul. Niegolewskich Andrzeja i Władysława
60-233	ul. Niegolewskich Andrzeja i Władysława
60-234	ul. Niegolewskich Andrzeja i Władysława
60-235	ul. Jarochowskiego Kazimierza
60-236	ul. Kasprzaka Marcina
60-237	ul. Kasprzaka Marcina
60-238	ul. Jarochowskiego Kazimierza
60-239	ul. Jarochowskiego Kazimierza
60-239	ul. Morawskiego Franciszka
60-241	ul. Kosynierska
60-241	ul. Kuźnicza
60-241	ul. Palacza Macieja
60-242	ul. Palacza Macieja
60-243	ul. Głogowska
60-244	ul. Głogowska
60-245	ul. Kasprzaka Marcina
60-246	ul. Jarochowskiego Kazimierza
60-246	ul. Winklera Błażeja
60-247	ul. Cybulskiego Wojciecha
60-247	ul. Nehringa Władysława
60-248	ul. Jarochowskiego Kazimierza
60-251	ul. Hetmańska
60-252	ul. Hetmańska
60-253	ul. Hetmańska
60-254	ul. Hetmańska
60-254	ul. Szymborska
60-255	ul. Chociszewskiego Józefa
60-256	ul. Chociszewskiego Józefa
60-257	ul. Chociszewskiego Józefa
60-258	ul. Chociszewskiego Józefa
60-259	ul. Chociszewskiego Józefa
60-261	ul. Chociszewskiego Józefa
60-262	ul. Głogowska
60-263	ul. Głogowska
60-264	ul. Głogowska
60-265	ul. Głogowska
60-266	ul. Głogowska
60-267	ul. Arciszewskiego Krzysztofa
60-267	ul. Rogalińskiego Józefa
60-268	ul. Arciszewskiego Krzysztofa
60-269	ul. Arciszewskiego Krzysztofa
60-271	ul. Arciszewskiego Krzysztofa
60-272	ul. Biedrzyckiego Adama
60-273	ul. Palacza Macieja
60-274	ul. Palacza Macieja
60-274	ul. Strzecha
60-275	ul. Belwederska
60-275	ul. Pogodna
60-275	ul. Tęczowa
60-276	ul. Promienista
60-277	ul. Grochowska
60-277	ul. Płowiecka
60-278	ul. Palacza Macieja
60-279	ul. Palacza Macieja
60-281	ul. Heweliusza
60-281	ul. Konfederacka
60-281	ul. Księżycowa
60-282	ul. Sowińskiego Józefa
60-283	ul. Sowińskiego Józefa
60-284	ul. Poświata
60-284	ul. Sowińskiego Józefa
60-286	ul. Słoneczna
60-287	ul. Belwederska
60-287	ul. Strzecha
60-287	ul. Tęczowa
60-288	ul. Berestecka
60-288	ul. Kircholmska
60-288	ul. Obronna
60-288	ul. Promienista
60-289	ul. Obozowa
60-289	ul. Orężna
60-289	ul. Promienista
60-301	ul. Bolkowicka
60-301	ul. Jugosłowiańska
60-302	ul. Racławicka
60-302	ul. Wawerska
60-303	ul. Olszynka
60-304	ul. Ściegiennego Piotra
60-306	ul. Wolska
60-307	ul. Grunwaldzka
60-308	ul. Grunwaldzka
60-309	ul. Grunwaldzka
60-311	ul. Grunwaldzka
60-312	ul. Grunwaldzka
60-313	ul. Grunwaldzka
60-315	ul. Kasztelanów
60-316	ul. Kasztelańska
60-317	ul. Marszałkowska
60-318	ul. Byczyńska
60-318	ul. Miczurina Iwana
60-318	ul. Rumuńska
60-319	ul. Ptasia
60-320	ul. Bułgarska
60-321	ul. Bułgarska
60-321	ul. Świerzawska
60-322	ul. Grunwaldzka
60-323	ul. Marcelińska
