"Lp.","Ulica","Nr ewidencyjny ulicy",,,"Długość [m]","Pole powierzchni jezdni [m2]"
"1140","Nowosolska","PG","G","161","1079","6122"
"1141","Nowotarska","PN","G","155","534","2986"
"1142","Nowotomyska","PG","G","162","123","591"
"1143","Nowowiejskiego Feliksa","PS","G","103","978","6913"
"1144","Nowy Świat","PJ","F","258","312","1252"
"1145","Obozowa","PG","G","163","359","1360"
"1146","Obronna","PG","G","164","109","466"
"1147","Obrońców Tobruku","PS","G","259","191","1224"
"1148","Obrzańska","PG","G","165","461","1408"
"1149","Obrzeże","PG","G","166","357","2251"
"1150","Obrzyca","PN","F","156","692","6107"
"1151","Ochota","PN","G","157","165","671"
"1152","Odległa","PG","G","167","231","1319"
"1153","Odolanowska","PG","F","260","184","1559"
"1154","Odrzycka","PG","G","261","288","1436"
"1155","Ognik","PG","F","262","584","4482"
"1156","Ogrodowa","PS","G","104","396","4041"
"1157","Ojcowska","PN","G","158","80"
"1158","Okolewo","PS","G","263","707","2334"
"1159","Okonecka","PG","G","168","156","912"
"1160","Okonecka","PG","F","516","167","879"
"1161","Okopowa","PN","G","159","241","695"
"1162","Okólna","PN","G","160","451","1853"
"1163","Okrętowa","PJ","F","490","112","281"
"1164","Okrzei Stefana","PW","G","100","373","2228"
"1165","Okulickiego Leopolda","PW","G","11","1137","5208"
"1166","Olchowa","PW","G","101","148","599"
"1167","Olecka","PJ","F","489","184","1179"
"1168","Oleśnicka","PG","G","169","322","1340"
"1169","Olimpijska","PW","G","102","314","3532"
"1170","Oliwkowa","PN","G","161","300","1352"
"1171","Oliwska","PJ","G","488","460","2483"
"1172","Olkuska","PN","G","162","420","1383"
"1173","Olsztyńska","PJ","G","161","405","1908"
"1174","Olszynka","PG","G","170","142","869"
"1175","Olzańska","PJ","G","162","155","777"
"1176","Oławska","PG","G","171","415","1795"
"1177","Omańkowskiej Janiny","PJ","G","163","967","4618"
"1178","Opalenicka","PG","G","172","826","3212"
"1179","Opalowa","PS","G","264","94","509"
"1180","Opatowska","PN","G","163","145","563"
"1181","Opawska","PG","G","173","389","1431"
"1182","Opłotki","PG","G","641","662","6781"
"1183","Opoczyńska","PN","F","664","199","1486"
"1184","Oppmana Artura","PG","G","265","72","519"
"1185","Orawski plac","PJ","G","164","72","419"
"1186","Orężna","PG","G","174","153","444"
"1187","Orkana Władysława","PW","G","266","335","2055"
"1188","Orla","PN","F","267","231","3189"
"1189","Orląt","PN","G","164","66","811"
"1190","Orna","PS","G","105","202","962"
"1191","Ornecka","PJ","G","647","280","1224"
"1192","Orszańska","PG","G","175","74","280"
"1193","Orzechowa","PW","G","103","536","3230"
"1194","Orzeszkowej Elizy","PG","G","176","232","1826"
"1195","Osiecka","PG","G","177","169","914"
"1196","Osinowa","PW","F","268","303","1823"
"1197","Oskierki","PG","G","178","103","450"
"1198","Ossowskiego Michała","PW","G","104","75","229"
"1199","Ostatnia","PG","G","179","408","3941"
"1200","Osterwy Juliusza","PG","G","269","70","584"
"1201","Ostrobramska","PG","G","180","609","3041"
"1202","Ostrołęcka","PJ","G","566","100","565"
"1203","Ostroroga Jana","PG","G","181","428","3027"
"1204","Ostrowska","PN","P","10010","123","995"
"1205","Ostródzka","PJ","G","491","246","1417"
"1206","Ostrów Tumski","PN","G","139","546","4630"
"1207","Ostrówek","PN","G","165","182","1927"
"1208","Ostrzeszowska","PG","F","270","218","1730"
"1209","Oświęcimska","PN","G","166","1880","7928"
"1210","Otwarta","PG","F","575","169","669"
"1211","Otwocka","PN","G","167","88","636"
"1212","Owcza","PG","G","182","1060","5432"
"1213","Owczarska","PJ","G","165","229","1127"
"1214","Owidiusza","PJ","G","519","385","1385"
"1215","Ownicka","PJ","G","166","92","1200"
"1216","Owocowa","PN","G","168","809","3810"
"1217","Owsiana","PS","G","106","655","4600"
"1218","Ozimina","PS","G","107","310","1253"
"1219","Ożarowska","PN","P","584","1286","8675"
"1220","Ożarowska","PN","F","671","1535","4745"
"1221","Pacajewa Wiktora","PS","F","272","361","3120"
"1222","Paczkowska","PG","G","183","603","3232"
"1223","Paczoskiego Józefa","PS","F","273","139","991"
"1224","Paderewskiego Ignacego","PS","G","108","303","1694"
"1225","Pajzderskiego Nikodema","PJ","G","167","249","1848"
"1226","Palucha Mieczysława","PJ","G","168","276","1058"
"1227","Pałucka","PJ","G","169","437","2140"
"1228","Pamiątkowa","PW","G","105","758","4979"
"1229","Pana Kleksa","PG","G","185","107","530"
"1230","Pana Twardowskiego","PG","G","186","153","895"
"1231","Panny","PN","F","564","139","792"
"1232","Panny Marii","PN","G","170","652","5257"
"1233","Parandowskiego Jana","PJ","G","692","222","761"
"1234","Parkowa","PG","G","187","53","230"
"1235","Parnickiego Teodora","PJ","G","693","235","1574"
"1236","Partyzancka","PW","G","106","244","1187"
"1237","Pasieka","PS","G","109","404","2339"
"1238","Pasłęcka","PJ","G","648","282","1246"
"1239","Pastelowa","PG","F","505","405","279"
"1240","Pasterska","PS","G","110","567","2476"
"1241","Paszty Józefa","PJ","F","274","108","621"
"1242","Paukszty Eugeniusza","PJ","F","95","144","859"
"1243","Pawia","PN","F","275","1091","11728"
"1244","Pawlikowskiej-Jasnorzewskiej Marii","PJ","G","694","133","578"
"1245","Pawlikowskiej-Jasnorzewskiej Marii","PJ","F","536","133","535"
"1246","Pawłowskiego Stanisława","PS","G","111","197","852"
"1247","Pelplińska","PJ","G","277","260","1027"
"1248","Perkoza","PN","F","541","583","2053"
"1249","Perkuna","PS","G","112","382","1475"
"1250","Perłowska","PG","G","188","481","2380"
"1251","Perzycka","PG","G","189","2436","13283"
"1252","Petuniowa","PG","F","517","170","1081"
"1253","PGR Wielkie","PJ","F","278","387","1683"
"1254","Piargowa","PG","F","580","196","1015"
"1255","Piaseckiego Eugeniusza","PN","F","493","423","3250"
"1256","Piaskowa","PS","G","113","168","735"
"1257","Piastowska","PW","P","87087","890","4073"
"1258","Piastowska","PW","F","11","1726","5699"
"1259","Piekałkiewicza Jana","PS","G","279","69","291"
"1260","Piekary","PS","G","114","258","1782"
"1261","Pierwiosnkowa","PG","F","517","102"
"1262","Pietrusińskiego Jana","PW","G","107","238","1272"
"1263","Piękna","PJ","G","170","788","4168"
"1264","Pileckiego Witolda","PJ","G","85","498","1324"
"1265","Pilicka","PJ","G","171","238","1322"
"1266","Pilotów","PJ","G","172","672","3175"
"1267","Pilska","PN","G","171","180","853"
"1268","Piłsudskiego Józefa","PN","F","577","709","5326"
"1269","Pińczowska","PN","G","172","241","1113"
"1270","Piołunowa","PS","G","280","1412","4176"
"1271","Pionierska","PW","G","108","278","1134"
"1272","Piotrowska","PN","G","174","192","1174"
"1273","Piwna","PN","G","175","337","1888"
"1274","Piwnika Jana al.","PJ","G","85","209"
"1275","Piwoniowa","PG","G","281","396","2732"
"1276","Platanowa","PW","G","293","86","513"
"1277","Plater Emilii","PW","G","109","144","747"
"1278","Plauta","PJ","G","522","131","667"
"1279","Plebańska","PJ","G","173","72","1273"
"1280","Pleszewska","PN","G","576","525","2700"
"1281","Plonowa","PN","G","176","346","1597"
"1282","Płocka","PN","G","177","189","930"
"1283","Płomienna","PG","F","294","321","1890"
"1284","Płowiecka","PG","G","190","198","871"
"1285","Pniewska","PJ","G","174","323","1458"
"1286","Pniewskiego Władysława","PS","G","115","266","1309"
"1287","Pobiedziska","PN","F","665","162","645"
"1288","Pobielska","PG","G","191","71","323"
"1289","Pochyła","PN","G","178","699","3083"
"1290","Pod Lipami aleja","PS","F","298","695","3638"
"1291","Podbiałowa","PS","G","295","234","1112"
"1292","Podbipięty Longinusa","PG","G","192","167","759"
"1293","Podbórska","PN","G","179","113","622"
"1294","Podchorążych","PG","G","193","596","4059"
"1295","Podgajska","PJ","G","175","158","871"
"1296","Podgórna","PS","P","139139","509","5141"
"1297","Podgórze","PS","G","116","109","661"
"1298","Podhalańska","PJ","G","176","116","689"
"1299","Podjaryszki","PN","G","296","573","1818"
"1300","Podkomorska","PG","G","194","621","2432"
"1301","Podlaska","PJ","G","177","356","2342"
"1302","Podleśna","PN","G","180","243","985"
"1303","Podmiejska","PN","G","181","207","866"
"1304","Podmokła","PW","G","299","280","1217"
"1305","Podolska","PJ","G","179","269","1494"
"1306","Podstolińska","PG","G","195","150","933"
"1307","Pogodna","PG","G","196","1280","7480"
"1308","Pogorzelska","PG","F","300","373","2622"
"1309","Polanicka","PJ","F","511","75","199"
"1310","Polanka","PN","G","301","542","2800"
"1311","Polanowska","PJ","G","180","2219","9556"
"1312","Polańska","PS","G","117","157","806"
"1313","Polarna","PS","F","524","609","1544"
"1314","Poleska","PJ","G","181","199","1041"
"1315","Poligonowa","PS","F","302","3367","9952"
"1316","Pollaka Romana","PS","F","303","214","1432"
"1317","Polna","PG","G","197","385","2937"
"1318","Polska","PJ","P","93093","210","2053"
"1319","Połaniecka","PN","G","182","198","1540"
"1320","Połczyńska","PJ","G","182","137","535"
"1321","Południowa","PW","G","110","572","3825"
"1322","Pomarańczowa","PS","G","544","1279","2771"
"1323","Pomorska","PJ","G","183","163","2361"
"1324","Poniecka","PW","G","111","94","527"
"1325","Popiela","PS","G","118","212","1073"
"1326","Poplińskich","PW","G","112","126","976"
"1327","Popradzka","PJ","G","184","303","1124"
"1328","Poprzeczna","PN","G","183","217","931"
"1329","Popularna","PN","F","525","321","1344"
"1330","Poranek","PG","F","304","320","1502"
"1331","Porazińskiej Janiny","PG","G","198","347","2699"
"1332","Poręba","PS","G","119","358","1812"
"1333","Poronińska","PJ","G","185","260","1349"
"1334","Porzeczkowa","PN","G","184","1259","5190"
"1335","Posadzego Ignacego ks.","PN","G","305","155","877"
"1336","Poświata","PG","G","199","70","198"
"1337","Poświatowskiej Haliny","PJ","F","547","258","1109"
"1338","Potockiej Klaudyny","PG","G","219","517","3812"
"1339","Potworowskiego Gustawa","PG","G","330","227","1781"
"1340","Powidzka","PN","G","185","216","1086"
"1341","Powstańców Wielkopolskich","PS","G","120","273","3273"
"1342","Powstańcza","PW","G","306","235","1460"
"1343","Pozdawnicka","PG","G","307","332","1375"
"1344","Poziomkowa","PN","G","308","217","942"
"1345","Poznańskie Sady","PN","G","309","570","3688"
"1346","Półwiejska","PS","G","121","685","4154"
"1347","Prabucka","PJ","F","634","120","568"
"1348","Prauzińskiego Leona","PJ","F","401","138","1147"
"1349","Prądnicka","PJ","F","311","88","243"
"1350","Prądzyńskiego Ignacego","PW","G","113","466","3566"
"1351","Promyk","PG","F","312","141","1317"
"1352","Proroka Leszka","PJ","G","695","382","1958"
"1353","Prosta","PG","F","506","213","1330"
"1354","Prośnicka","PG","G","200","118","655"
"1355","Prowansalska","PS","F","199","174","730"
"1356","Prusa Bolesława","PJ","G","186","204","2000"
"1357","Prusimska","PJ","G","187","202","1725"
"1358","Pruszkowska","PN","G","186","217","615"
"1359","Prużańska","PN","G","187","77","430"
"1360","Przasnyska","PJ","G","494","323","1200"
"1361","Prząśniczki","PN","G","314","145","688"
"1362","Przebiśniegowa","PG","G","513","207","592"
"1363","Przedborska","PN","G","188","168","875"
"1364","Przedpole","PN","F","315","104","482"
"1365","Przelot","PJ","F","893","372","2598"
"1366","Przełajowa","PS","G","316","353","3041"
"1367","Przełęcz","PW","G","114","784","3604"
"1368","Przełom","PW","G","115","153","732"
"1369","Przemyska","PN","G","189","972","5642"
"1370","Przemysłowa","PW","P","98098","230","2078"
"1371","Przepiórcza","PG","F","318","223","672"
"1372","Przeskok","PN","G","190","206","793"
"1373","Przesmyk","PG","G","201","161","215"
"1374","Prześwit","PJ","G","188","109","492"
"1375","Przeworska","PN","F","512","164","1025"
"1376","Przy Autostradzie","PG","F","617","543","3610"
"1377","Przy Dolinie","PW","F","572","86","376"
"1378","Przybrodzka","PJ","G","189","92","409"
"1379","Przybylskiego Józefa","PW","G","116","95","226"
"1380","Przygraniczna","PJ","G","190","266","1762"
"1381","Przyjemna","PN","F","666","729","2892"
"1382","Przylaszczkowa","PG","F","592","302","1206"
"1383","Przyłuskiego Leona","PS","G","122","204","997"
"1384","Przystań","PN","G","191","218","847"
"1385","Przytoczna","PJ","G","191","205","1065"
"1386","Psarskie","PJ","G","192","104","225"
"1387","Pstrowskiego Wincentego","PN","G","192","689","3402"
"1388","Pszczelna","PS","G","123","416","2339"
"1389","Pszczyńska","PG","G","202","253","1379"
"1390","Pszenna","PS","G","124","163","596"
"1391","Ptasia","PG","G","203","648","10314"
"1392","Ptaszkowska","PG","G","204","202","1129"
"1393","Pucka","PJ","G","193","439","1786"
"1394","Puławska","PN","G","319","171","358"
"1395","Pułtuska","PN","G","193","244","1267"
"1396","Pusta","PN","G","194","1015","5378"
"1397","Pustkowska","PN","F","511","198","559"
"1398","Puszkina Aleksandra","PJ","G","601","290","3505"
"1399","Pużaka Kazimierza","PW","G","68","89","470"
"1400","Pyrzyczańska","PN","G","320","251","1576"
"1401","Quadro Jana Baptysty","PS","F","271","58","346"
"1402","Rabczańska","PJ","G","194","491","1768"
"1403","Raciborska","PJ","G","195","101","310"
"1404","Racjonalizatorów","PW","F","321","276","1489"
"1405","Racławicka","PG","G","205","566","3801"
"1406","Raczyńskiego Edwarda","PJ","G","196","1554","5858"
"1407","Radlińska","PJ","F","571","132","833"
"1408","Radłowa","PS","G","125","273","1335"
"1409","Radomska","PN","G","323","237","932"
"1410","Radosna","PJ","G","325","715","3113"
"1411","Radowita","PN","G","325","327","1186"
"1412","Radyńska","PG","G","327","307","1337"
"1413","Radziejewskiego Mieczysława ks. aleja","PN","F","678","619","3389"
"1414","Radziejowska","PN","F","326","59","217"
"1415","Radziwoja","PN","P","101101","1153","6720"
"1416","Raka","PN","F","328","172","686"
"1417","Rakietowa","PN","G","195","109","503"
"1418","Rakowicza Jana","PJ","F","696","238","1301"
"1419","Ranowska","PN","G","196","168","374"
"1420","Rapackiego Wincentego","PG","G","329","86","421"
"1421","Raszkowska","PG","F","330","69","652"
"1422","Raszyńska","PG","G","206","590","4464"
"1423","Rataja Macieja","PS","G","331","822","5754"
"1424","Ratajczaka Franciszka","PS","P","104104","86","1402"
"1425","Rataje","PN","F","332","285","1876"
"1426","Ratajskiego Cyryla plac","PS","P","106106","115","3536"
"1427","Rawicka","PG","G","207","562","1931"
"1428","Rawicka","PW","G","207","1175","4774"
"1429","Rawicz-Mysłowskiego Mieczysława","PJ","G","85","148","1013"
"1430","Rdestowa","PS","F","627","149","912"
"1431","Reczeńska","PW","G","117","123","572"
"1432","Redarowska","PN","F","523","417","2868"
"1433","Regatowa","PJ","G","333","423","2248"
"1434","Reglowa","PG","G","495","173","840"
"1435","Reja Mikołaja","PJ","G","198","105","618"
"1436","Rejewskiego Mariana","PW","G","75","992","5021"
"1437","Rejtana Tadeusza","PJ","G","199","354","1229"
"1438","Reknicka","PN","G","334","634","2841"
"1439","Rekreacyjna","PJ","F","671","651","2533"
"1440","Rembertowska","PG","G","208","368","1977"
"1441","Republik aleja","PS","F","335","2261"
"1442","Retmańska","PJ","G","336","353","1775"
"1443","Rewalska","PJ","G","200","232","1043"
"1444","Rezedowa","PG","G","496","216","1464"
"1445","Rivolego Józefa","PJ","F","535","119","416"
"1446","Robocza","PW","G","118","1164","10365"
"1447","Rodawska","PN","G","198","728","3439"
"1448","Rodowicza Jana","PJ","G","85","98"
"1449","Rodziewiczówny Marii","PJ","G","202","183","971"
"1450","Rodzynkowa","PS","F","551","61","619"
"1451","Rogalińskiego Józefa","PG","G","209","213","956"
"1452","Rogowska","PN","G","532","62","418"
"1453","Rogozińska","PJ","G","203","285","772"
"1454","Rojna","PG","G","210","98","438"
"1455","Rokietnicka","PG","G","211","353","1916"
"1456","Rokity","PG","G","212","58","274"
"1457","Rolna","PW","G","119","1242","8700"
"1458","Ropczycka","PN","G","199","1155","3507"
"1459","Rosnowska","PG","G","213","143","641"
"1460","Rostworowskiego Stanisława","PJ","G","85","641","1258"
"1461","Roślinna","PN","G","200","1166","4758"
"1462","Rozewska","PN","G","201","118","655"
"1463","Rozmarynowa","PW","G","120","146","482"
"1464","Roztocka","PG","G","214","83","404"
"1465","Rozwadowska","PN","G","202","1554","6773"
"1466","Rożka Marcina","PJ","G","204","300","1289"
"1467","Równa","PN","G","203","164","714"
"1468","Różana","PW","G","121","335","2236"
"1469","Różany Targ","PS","F","339","72","326"
"1470","Różyckiego Jerzego","PW","G","132","64","184"
"1471","Różyckiego Stefana","PG","G","338","113","353"
"1472","Różyczkowa","PG","G","340","354","1015"
"1473","Rubież","PS","G","126","2307","10667"
"1474","Rubinowa","PS","F","341","218","1637"
"1475","Ruczajowa","PG","G","215","151","571"
"1476","Rudnickiego Mikołaja","PS","F","342","250","715"
"1477","Rudnicze","PG","G","216","93","318"
"1478","Rudzka","PN","G","204","584","2317"
"1479","Rugego Tadeusza","PJ","G","293","186","579"
"1480","Rugijska","PN","G","205","598","2997"
"1481","Rumcajsa","PG","G","217","84","440"
"1482","Rumiankowa","PS","G","343","1784","5431"
"1483","Rumuńska","PG","G","218","375","1754"
"1484","Rungego Stanisława","PS","F","344","87","377"
"1485","Ruska","PS","G","127","146","735"
"1486","Ryb","PN","F","345","154","671"
"1487","Rybaki","PS","G","128","516","3343"
"1488","Rybitwy","PN","F","539","430","1666"
"1489","Rybnicka","PG","G","220","561","2276"
"1490","Rybojadzka","PJ","G","205","122","611"
"1491","Rycerska","PG","G","221","1035","5018"
"1492","Rydlewskich Marii i Celestyna","PJ","G","206","107","367"
"1493","Rydzowa","PN","G","206","1026","4930"
"1494","Rydzyńska","PW","G","122","250","1138"
"1495","Rylejewa Kondratija","PS","F","346","421","2714"
"1496","Rylla Franciszka","PG","G","347","74","235"
"1497","Rymanowska","PN","G","207","481","1685"
"1498","Rymarkiewicza Jana","PS","G","129","258","1295"
"1499","Rymera Józefa","PW","G","348","137","826"
"1500","Rynarzewska","PG","G","222","204","1203"
"1501","rynek Jeżycki","PJ","G","349","84","436"
"1502","rynek Łazarski","PG","G","350","524","6133"
"1503","rynek Śródecki","PN","G","351","89","609"
"1504","rynek Wildecki","PW","F","352","105","488"
"1505","rynek Wschodni","PN","G","353","127","656"
"1506","Rynkowa","PS","G","130","31","199"
"1507","Rypińska","PJ","G","569","61","426"
"1508","Rysia","PN","G","208","360","1209"
"1509","Rzeczańska","PN","F","354","403","2824"
"1510","Rzeczna","PN","G","209","241","1668"
"1511","Rzepeckiej Heleny","PJ","G","207","246","973"
"1512","Rzepińska","PG","G","223","611","2008"
"1513","Rzeszowska","PJ","G","208","264","1398"
"1514","Rzewieniowa","PS","F","597","123","278"
"1515","Rzewuskiego Wacława","PN","F","497","144","1179"
"1516","Sabiny","PN","G","210","279","1335"
"1517","Sadnicka","PG","G","224","243","1343"
"1518","Sadowa","PS","G","131","404","2442"
"1519","Safony","PJ","F","529","117","556"
"1520","Salicka","PN","G","211","191","861"
"1521","Samotna","PW","G","123","331","1949"
"1522","Sanatoryjna","PJ","G","355","351","1783"
"1523","Sandomierska","PN","P","107107","1035","8371"
"1524","Sanocka","PN","G","212","1219","4081"
"1525","Santocka","PJ","P","108108","678","3212"
"1526","Saperska","PW","G","124","993","6389"
"1527","Sarbinowska","PN","G","356","313","1384"
"1528","Sarmacka","PS","P","109109","1218","9921"
"1529","Sarnia","PN","G","213","879","3967"
"1530","Sasankowa","PG","G","357","371","1893"
"1531","Sąsiedzka","PG","G","225","704","3365"
"1532","Sczanieckiej Emilii","PG","G","226","297","2634"
"1533","Sempołowskiej Stefanii","PW","G","126","257","1904"
"1534","Senatorska","PG","G","227","405","2062"
"1535","Seneki","PJ","G","521","132","788"
"1536","Serafitek","PN","G","214","418","2969"
"1537","Serdeczna","PN","G","652","228","997"
"1538","Serwisowa","PG","F","617","731","4687"
"1539","Sędziwoja","PN","G","215","1007","4635"
"1540","Sępia","PN","G","216","443","2536"
"1541","Sępoleńska","PJ","F","358","143","579"
"1542","Sianowska","PJ","P","111111","808","5592"
"1543","Siedmiogrodzka","PS","G","132","133","433"
"1544","Sielawy","PS","F","639","152","951"
"1545","Sielska","PG","G","228","374","2593"
"1546","Siemiradzkiego Henryka","PG","G","229","485","2545"
"1547","Sienkiewicza Henryka","PJ","G","209","457","3971"
"1548","Sieradzka","PG","G","230","522","2614"
"1549","Sierakowska","PG","G","231","246","1325"
"1550","Sieroca","PS","G","133","72","311"
"1551","Sierotki Marysi","PG","G","232","166","976"
"1552","Sierpowa","PN","G","217","1842","6339"
"1553","Siewierska","PN","G","218","534","2164"
"1554","Siewna","PS","G","134","453","2111"
"1555","Sikorskiego Władysława","PW","G","127","628","4576"
"1556","Silniki","PN","G","219","1091","6690"
"1557","Sióstr Misjonarek","PS","F","359","101","575"
"1558","Skalna","PG","G","233","335","1528"
"1559","Skałkowskiego Adama","PS","F","554","288","2474"
"1560","Skarbka Fryderyka","PG","G","234","421","1960"
"1561","Skargi Piotra","PG","G","235","168","1248"
"1562","Skarszewska","PJ","G","210","146","690"
"1563","Skarżyńskiego Stanisława","PJ","F","360","47","135"
"1564","Skawińska","PN","G","220","846","2684"
"1565","Skibowa","PN","G","221","1299","6746"
"1566","Składowa","PS","G","135","525","5057"
"1567","Skłodowskiej-Curie Marii plac","PW","F","288","100","447"
"1568","Skoczowska","PN","G","222","250","1260"
"1569","Skorpiona","PN","F","361","162","670"
"1570","Skośna","PS","G","136","100","617"
"1571","Skotarska","PS","G","137","502","4567"
"1572","Skrajna","PG","G","236","279","1095"
"1573","Skromna","PN","G","223","138","1007"
"1574","Skryta","PG","G","237","208","1287"
"1575","Skrzetuskiego Jana","PG","G","238","160","716"
"1576","Skrzydlata","PN","G","224","96","507"
"1577","Skrzypowa","PS","G","363","481","2052"
"1578","Skwierzyńska","PS","G","138","360","1981"
"1579","Sławińska","PG","F","517","264","1324"
"1580","Sławińska","PG","G","239","233","1350"
"1581","Sławomira","PN","G","225","387","1537"
"1582","Sławskiego Rogera","PS","G","139","204","1107"
"1583","Słodyńska","PJ","P","112112","824","3017"
"1584","Słomiana","PS","G","140","227","1098"
"1585","Słoneczna","PG","G","240","1176","6436"
"1586","Słonecznikowa","PS","F","503","295","240"
"1587","Słonimska","PN","G","226","168","970"
"1588","Słowackiego Juliusza","PJ","G","211","999","7785"
"1589","Słowicza","PG","G","241","166","657"
"1590","Słubicka","PS","G","141","197","978"
"1591","Słupecka","PN","G","227","285","2357"
"1592","Smardzewska","PG","G","242","523","2667"
"1593","Smoka Wawelskiego","PG","G","243","162","928"
"1594","Smolna","PN","G","364","375","3542"
"1595","Smoluchowskiego Mariana","PG","G","244","786","6142"
"1596","Smołdzinowska","PN","P","115115","1028","8244"
"1597","Snopowa","PN","G","228","623","3183"
"1598","Sobiesława","PN","G","229","187","715"
"1599","Sobolowa","PN","G","230","237","1185"
"1600","Sobotecka","PG","G","245","557","1662"
"1601","Sochaczewska","PJ","F","365","91","759"
"1602","Sofoklesa","PJ","G","527","234","1166"
"1603","Sokolnickiej Zofii","PJ","G","212","122","517"
"1604","Sokoła","PJ","G","213","704","5520"
"1605","Sokołowskiego Jana","PS","G","366","216","1290"
"1606","Solecka","PN","G","231","190","971"
"1607","Solskiego Ludwika","PG","G","367","489","2672"
"1608","Sołtysia","PS","G","142","795","2628"
"1609","Sopocka","PJ","F","498","143","768"
"1610","Soroki","PG","G","246","167","860"
"1611","Sosnowa","PW","G","128","567","2223"
"1612","Sośnicka","PN","G","232","390","2267"
"1613","Sowia","PN","F","368","309","1314"
"1614","Sowice","PN","G","233","3036","11146"
"1615","Sowińskiego Józefa","PG","G","247","640","3709"
"1616","Spacerowa","PJ","F","672","203","787"
"1617","Spadochronowa","PJ","G","214","186","829"
"1618","Spadzista","PW","G","129","43","158"
"1619","Spichrzowa","PW","F","369","634","3352"
"1620","Spiski plac","PJ","G","215","87","404"
"1621","Spokojna","PS","G","370","232","931"
"1622","Sporna","PS","G","32","232","1222"
"1623","Sportowa","PW","G","130","82","757"
"1624","Srebrna","PG","G","249","211","1213"
"1625","Stablewskiego Floriana","PG","G","75","557","3701"
"1626","Stachury Edwarda aleja","PJ","G","156","142","1231"
"1627","Staffa Leopolda","PG","G","371","350","2423"
"1628","Stalowa","PN","G","234","592","3640"
"1629","Stara Cegielnia","PG","F","168","266","994"
"1630","Starachowicka","PN","P","118118","201","1326"
"1631","Starkowska","PN","G","373","407","2143"
"1632","Starogardzka","PJ","G","374","488","2502"
"1633","Starowiejska","PS","G","143","358","1778"
"1634","Startowa","PJ","G","217","279","2017"
"1635","Stary Rynek","PS","F","144","491","10145"
"1636","Staszica Stanisława","PJ","G","218","276","1495"
"1637","Staszowska","PN","G","236","403","3071"
"1638","Stawna","PS","G","145","179","1375"
"1639","Stawny plac","PS","F","290","23"
"1640","Stefańskiego Walentego","PW","G","131","294","1858"
"1641","Sterowa","PJ","G","219","106","317"
"1642","Stewnicka","PN","G","237","542","2191"
"1643","Stęszewska","PG","G","250","823","4218"
"1644","Stobnicka","PJ","F","399","453","926"
"1645","Stobnicka","PJ","G","220","789","2841"
"1646","Stobrawska","PW","F","632","207","755"
"1647","Stokrotkowa","PG","G","375","1028","4544"
"1648","Stolarska","PG","G","251","262","1977"
"1649","Storczykowa","PG","G","376","165","516"
"1650","Strażewicza Wacława","PS","F","377","155","1213"
"1651","Straży Ludowej","PJ","G","221","594","3213"
"1652","Stróżyńskiego Franciszka","PS","P","120120","186","1136"
"1653","Strugarka Stanisława","PS","G","146","143","702"
"1654","Strusia Józefa","PG","G","252","74","790"
"1655","Strykowska","PG","G","253","149","446"
"1656","Strzałkowska","PN","G","238","904","5066"
"1657","Strzałkowskiego Romka","PJ","G","222","207","1276"
"1658","Strzałowa","PS","G","147","136","905"
"1659","Strzecha","PG","G","254","442","1734"
"1660","Strzegomska","PG","G","378","945","6212"
"1661","Strzelca","PN","F","379","158","615"
"1662","Strzelecka","PS","P","121121","617","5276"
"1663","Strzeleckiego Pawła","PN","G","239","588","2073"
"1664","Strzelińska","PG","G","255","301","1641"
"1665","Strzyżowska","PN","G","240","629","3336"
"1666","Studzienna","PN","G","241","237","848"
"1667","Styczyńskiego Wincentego","PW","G","380","100","486"
"1668","Sucha","PN","G","242","254","1362"
"1669","Sucharskiego Henryka","PW","G","149","970","2454"
"1670","Sulechowska","PW","G","133","610","2135"
"1671","Suliszewska","PJ","G","697","135","887"
"1672","Sulmierzycka","PG","G","256","97","266"
"1673","Sułkowicka","PN","F","667","304","746"
"1674","Sułowska","PJ","G","225","123","750"
"1675","Suszki Jerzego","PS","G","148","571","2300"
"1676","Suwalska","PJ","G","505","466","2848"
"1677","Swantibora","PN","G","243","467","2307"
"1678","Swarożyca","PS","G","149","209","1062"
"1679","Swarzędzka","PN","G","244","527","2063"
"1680","Swinarskiego Artura Marii","PG","G","381","82","497"
"1681","Swoboda","PG","G","257","928","5234"
"1682","Swojska","PJ","G","226","424","1471"
"1683","Sycylijska","PS","F","199","59","172"
"1684","Synów Pułku","PJ","G","227","211","1200"
"1685","Sypniewo","PN","G","245","1861","6911"
"1686","Syrenia","PN","G","246","653","3107"
"1687","Syrokomli Władysława","PS","G","150","251","1221"
"1688","Sytkowska","PJ","G","228","554","3846"
"1689","Szadecka","PG","F","382","524","1643"
"1690","Szafirowa","PJ","G","229","115","409"
"1691","Szaflarska","PJ","G","230","159","674"
"1692","Szafran Heleny","PJ","G","231","257","1548"
"1693","Szałasa Kazimierza","PJ","G","232","238","1246"
"1694","Szałwiowa","PS","F","383","377","1022"
"1695","Szamarzewskiego Augustyna","PJ","G","233","1710","12414"
"1696","Szamocińska","PW","G","134","132","660"
"1697","Szamotulska","PG","G","259","636","3970"
"1698","Szamotulska","PJ","G","234","615","3652"
"1699","Szantowa","PJ","F","704","141","560"
"1700","Szarotkowa","PG","G","384","1910","15549"
"1701","Szczawiowa","PS","F","152","216","791"
