"Lp.","Ulica","Nr ewidencyjny ulicy",,,"Długość [m]","Pole powierzchni jezdni [m2]"
"180","Budzyńska","PJ","G","20","152","1184"
"181","Bukowa","PW","F","46","289","1394"
"182","Bułhakowa Michaiła","PJ","F","608","145","719"
"183","Bunina Iwana","PJ","F","602","194","915"
"184","Bunscha Karola","PJ","G","686","187","956"
"185","Burgundzka","PS","F","199","202","734"
"186","Burszty Józefa","PW","G","657","597","3999"
"187","Bursztynowa","PS","G","47","452","3001"
"188","Burysława","PS","G","16","235","1462"
"189","Burzowa","PS","F","519","116","480"
"190","Burzyńskiego Zbigniewa","PJ","G","21","297","2470"
"191","Buska","PJ","G","22","305","1092"
"192","Butryma Józwy","PG","G","25","166","682"
"193","Bużańska","PJ","G","23","84","463"
"194","Bychawska","PN","F","523","662","2752"
"195","Byczyńska","PG","G","48","176","926"
"196","Bydgoska","PN","G","20","338","3132"
"197","Bylicowa","PS","F","678","190","806"
"198","Bystra","PN","G","21","981","4166"
"199","Bystrzycka","PJ","G","24","101","632"
"200","Bystrzyckiego Przemysława plac","PJ","F","404","207","291"
"201","Bytomska","PW","G","15","147","857"
"202","Bzowa","PW","G","16","206","855"
"203","Calliera Edmunda","PG","G","26","177","1226"
"204","Cedrowa","PW","F","50","119","551"
"205","Cedzyńska","PG","G","27","114","623"
"206","Cegielskiego Hipolita","PS","G","17","97","975"
"207","Ceglana","PG","G","28","410","2070"
"208","Celichowskich","PS","G","640","249","581"
"209","Ceramiczna","PG","G","29","101","305"
"210","Cetniewska","PJ","G","611","320","2006"
"211","Chabrowa","PW","G","51","110","523"
"212","Charzykowska","PJ","G","52","297","1167"
"213","Chełmińska","PJ","F","53","198","2837"
"214","Chełmońskiego Józefa","PG","G","30","298","2467"
"215","Chemiczna","PN","G","22","1236","9753"
"216","Chęcińska","PN","G","23","174","771"
"217","Chlebowa","PN","G","24","496","3295"
"218","Chłapowskiego Dezyderego","PW","G","17","388","2571"
"219","Chłodna","PG","G","31","107","600"
"220","Chmielna","PW","G","18","107","796"
"221","Chmurna","PS","F","679","224","819"
"222","Chochołowska","PJ","F","54","84","481"
"223","Chociebora","PN","P","157157","340","1045"
"224","Chocimska","PS","G","55","360","1605"
"225","Chociszewskiego Józefa","PG","G","32","659","6070"
"226","Chodzieska","PJ","G","26","956","4399"
"227","Chojnicka","PJ","P","11011","173","1255"
