"Lp.","Ulica","Nr ewidencyjny ulicy",,,"Długość [m]","Pole powierzchni jezdni [m2]"
"201","Strzeszyńska","PJ","G","223","845","8458"
"202","Strzeszyńska","PJ","P","122122","2556","24870"
"203","Sucholeska","PJ","P","123123","261","2082"
"204","Sycowska","PG","G","258","1956","13225"
"205","Sypniewo","PN","P","124124","727","4178"
"206","Sytkowska","PJ","P","125125","849","7588"
"207","Szamarzewskiego Augustyna","PJ","G","233","145","304"
"208","Szarych Szeregów","PJ","P","126126","950","6983"
"209","Szczawnicka","PJ","P","127127","450","3428"
"210","Szczepankowo","PN","P","128128","4933","33152"
"211","Szelągowska","PS","P","129129","1344","10387"
"212","Szeligowskiego Tadeusza","PS","P","499","1481","35824"
"213","Szeligowskiego Tadeusza","PS","F","89","195","1599"
"214","Szpitalna","PJ","P","130130","768","7701"
"215","Szwajcarska","PN","P","588","1285","22753"
"216","Szwedzka","PN","P","671","1195","18703"
"217","Szylinga Arnolda","PG","P","131131","160","1699"
"218","Szymanowskiego Karola","PS","P","394","897","11574"
"219","Ściegiennego Piotra","PG","P","132132","731","7972"
"220","Ściegiennego Piotra","PG","G","5014","530","7296"
"221","Śniadeckich","PG","G","267","755","6433"
"222","Śródka rondo","PN","P","5005","115","16319"
"223","św. Antoniego","PN","P","1001","760","5079"
"224","św. Michała","PN","P","73073","1131","10006"
"225","św. Wawrzyńca","PJ","P","141141","1335","16573"
"226","Światopełka","PN","P","133133","241","1193"
"227","Święty Marcin","PS","P","16016","1081","12810"
"228","Taczanowskiego Edmunda","PG","P","135135","455","7417"
"229","Tarnowska","PN","P","136136","1393","11088"
"230","Torowa","PN","P","265","565","4219"
"231","Towarowa","PS","G","203","145","1411"
"232","Umultowska","PS","P","138138","2292","27757"
"233","Urbanowska","PJ","P","161161","117","1533"
"234","Warszawska","PN","K","92007","1385","21512"
"235","Warszawska","PN","P","140140","4902","105476"
"236","Wąska","PJ","G","255","73","407"
"237","Wiatraczna","PN","P","142142","942","12062"
"238","Wichrowa","PJ","G","259","701","5342"
"239","Wiechowicza Stanisława","PS","P","506","392","2782"
"240","Wielka","PS","G","171","145","339"
"241","Wielkopolska aleja","PJ","P","143143","802","8493"
"242","Wieruszowska","PG","P","144144","959","6799"
"243","Wierzbięcice","PW","P","36036","970","14615"
"244","Winogrady","PS","P","145145","2103","19455"
"245","Witosa Wincentego","PJ","K","11002","1858","47590"
"246","Wojciechowskiego Zygmunta","PS","P","147147","1167","15017"
"247","Wojska Polskiego","PJ","P","148148","1885","20136"
"248","Wolnica","PS","P","433","140","1722"
"249","Wołczyńska","PG","P","150150","1244","9321"
"250","Wyspiańskiego Stanisława","PG","G","306","794","8888"
"251","Zakopiańska","PJ","P","152152","2327","13913"
